0	7.6	1440.5	1436.4
0	3441.3	3439.3	2
17.6	0	0	0
1605841	482634	181951	2065389
6309	4858	4858	6309
0	200	59600	0
-43	-43	43	43
24.5	-24.5	-24.5	24.5
3.8	287	0	0
0	0	0	0
715	1720	0	0
74.9	0.02	2390	0
23451	23515	23288	23161
1.2137	1.3267	1.3868	1.4861
212.55	193.94	212.68	229.38
250	1180	0	0
350	3040	0	0
127827	-39667	-22667	-14095
